objectid,street_num,street_name,longitude,latitude,meter_type,point
204895,31,GEARY ST,-122.40466769940001,37.787758699499996,SS,"(37.787758699860895, -122.40466769872029)"
204924,28,HARRISON ST,-122.38932959889999,37.7890446008,SS,"(37.78904460125162, -122.38932959929687)"
204927,106,HARRISON ST,-122.3897308015,37.788727899,SS,"(37.7887278987762, -122.38973080176646)"
204930,219,FOLSOM ST,-122.3922927973,37.7889120997,SS,"(37.7889120997148, -122.39229279681848)"
204937,407,SUTTER ST,-122.407302601,37.7893268027,SS,"(37.78932680268181, -122.40730260134139)"
205017,114,MINNA ST,-122.39965438809999,37.7873034001,SS,"(37.78730339986912, -122.39965438783447)"
205047,675,FOLSOM ST,-122.3986071979,37.7839185026,SS,"(37.78391850295146, -122.39860719811799)"
205048,122,MINNA ST,-122.3998927024,37.787118098600004,SS,"(37.78711809917744, -122.39989270246893)"
205062,111,BRYANT ST,-122.389140302,37.7865160991,SS,"(37.78651609868733, -122.38914030246636)"
205066,351,FREMONT ST,-122.3922374991,37.7870336984,SS,"(37.78703369819138, -122.392237498524)"
205152,348,FREMONT ST,-122.3923626018,37.7868902002,SS,"(37.78689020026198, -122.3923626019102)"
205174,556,EMBARCADERO SOUTH,-122.3882048984,37.7854336993,SS,"(37.78543369892522, -122.38820489751062)"
205190,117,BRYANT ST,-122.389288902,37.78640399960001,SS,"(37.786404000040086, -122.3892889017306)"
205210,344,02ND ST,-122.3956600984,37.7845892002,SS,"(37.78458920030365, -122.3956600982076)"
205234,306,03RD ST,-122.39878679969999,37.7835480002,SS,"(37.783547999810025, -122.39878679953469)"
205266,104,GEARY ST,-122.40531299979999,37.7877836999,SS,"(37.78778370012538, -122.4053130001359)"
205267,334,02ND ST,-122.3959087,37.7847870019,SS,"(37.78478700158405, -122.39590870025346)"
205278,32,HAWTHORNE ST,-122.3985409026,37.785181499000004,SS,"(37.785181499232664, -122.39854090309522)"
205289,415,02ND ST,-122.3947212973,37.784082598000005,SS,"(37.78408259831968, -122.39472129652027)"
205292,533,FOLSOM ST,-122.394856,37.7868791976,SS,"(37.78687919824391, -122.39485600032525)"
205323,648,FOLSOM ST,-122.39812861940001,37.7845311069,SS,"(37.78453110743766, -122.39812861904596)"
205369,665,FOLSOM ST,-122.3983672016,37.7841081013,SS,"(37.78410810067321, -122.39836720179242)"
205421,20,KAPLAN LN,-122.3992394001,37.7849935991,MS,"(37.784993598798046, -122.39923939944667)"
205434,139,NEW MONTGOMERY ST,-122.3992721007,37.786522,SS,"(37.78652200000898, -122.39927210133419)"
205462,108,GEARY ST,-122.4054718983,37.787763700700005,SS,"(37.78776370140527, -122.40547189851341)"
205491,573,FOLSOM ST,-122.39627749819999,37.7857583024,-,"(37.785758301818035, -122.39627749784044)"
205597,114,NEW MONTGOMERY ST,-122.40009739969999,37.7870341008,MS,"(37.78703410074841, -122.40009740012512)"
